GNISIDNAME,COUNT,AREA,PercentArea_Value,MIN_cellsml,MAX_cellsml,RANGE_cellsml,MEAN_cellsml,STD_cellsml,Day,Year,Date,wi_DWSA
Crane Prairie Reservoir_01140386,169,15210000,,6310,444632,438322,36952,78992,243,2019,8/31/2019,
Crater Lake_01163669,531,47790000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Crescent Lake_01158186,130,11700000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Crump Lake_01119601,358,32220000,,6310,25119,18809,6556,1923,243,2019,8/31/2019,
Davis Lake_01140666,96,8640000,,6310,3076098,3069788,579613,754351,243,2019,8/31/2019,
Detroit Lake_01639301,23,2070000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Diamond Lake_01140999,109,9810000,,6310,164437,158128,10212,21731,243,2019,8/31/2019,
Dorena Lake_01120032,32,2880000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Drews Reservoir_01141243,148,13320000,,6310,3944575,3938265,2072513,987383,243,2019,8/31/2019,
East Lake_01141624,33,2970000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Fern Ridge Lake_01120678,255,22950000,,6310,457089,450779,8718,28800,243,2019,8/31/2019,
Foster Lake_01158892,9,810000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Gerber Reservoir_01121105,110,9900000,,6310,71779,65470,7148,6693,243,2019,8/31/2019,
Goose Lake_00224325,2094,188460000,,6310,4528978,4522668,836916,646914,243,2019,8/31/2019,
Green Peter Lake_01158878,45,4050000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Hart Lake_01121637,312,28080000,,6310,887156,880847,94532,154734,243,2019,8/31/2019,
Hills Creek Lake_01158881,30,2700000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Howard Prairie Lake_01158895,60,5400000,,6310,2679170,2672860,1335838,714840,243,2019,8/31/2019,
Lake Abert_01116755,1495,134550000,,6310,1458815,1452506,76817,232791,243,2019,8/31/2019,
Lake Billy Chinook_01138120,107,9630000,,6310,1721870,1715560,623053,565619,243,2019,8/31/2019,
Lake of the Woods_01161601,12,1080000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Lost Creek Lake_01158890,83,7470000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Malheur Lake_01123710,963,86670000,,6310,2333460,2327150,312555,359436,243,2019,8/31/2019,
Odell Lake_01147159,68,6120000,,6310,6310,0,6310,0,112,2017,4/22/2017,
Paulina Lake_01147502,49,4410000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Renner Lake_00267175,20,1800000,,6310,183654,177344,24638,51600,243,2019,8/31/2019,
Sturgeon Lake_01127681,21,1890000,,6310,602560,596250,163516,249780,243,2019,8/31/2019,
Summer Lake_01150595,610,54900000,,6310,2333460,2327150,572793,357275,243,2019,8/31/2019,
Summit Lake_01150624,11,990000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Swamp Lake_01127802,38,3420000,,42462,539511,497049,256718,138345,243,2019,8/31/2019,
Timothy Lake_01151253,24,2160000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Upper Klamath Lake_01151685,2586,232740000,,6310,6854886,6848576,2326210,1267023,243,2019,8/31/2019,
Waldo Lake_01151818,170,15300000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Warm Springs Reservoir_01128656,142,12780000,,6310,35975,29665,6850,3316,243,2019,8/31/2019,
Wickiup Reservoir_01161711,78,7020000,,6310,328096,321786,24119,68837,243,2019,8/31/2019,
Alkali Lake_01116863,29,2610000,,6310,6668069,6661759,1886138,2270607,242,2019,8/30/2019,
Crane Prairie Reservoir_01140386,173,15570000,,6310,469894,463585,24357,56002,242,2019,8/30/2019,
Crater Lake_01163669,571,51390000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Crescent Lake_01158186,154,13860000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Davis Lake_01140666,116,10440000,,6310,3162279,3155970,418363,701601,242,2019,8/30/2019,
Detroit Lake_01639301,67,6030000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Diamond Lake_01140999,127,11430000,,6310,118032,111723,9327,14044,242,2019,8/30/2019,
East Lake_01141624,38,3420000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Gerber Reservoir_01121105,121,10890000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Green Peter Lake_01158878,24,2160000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Hills Creek Lake_01158881,65,5850000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Howard Prairie Lake_01158895,59,5310000,,6310,1106624,1100315,574460,321019,242,2019,8/30/2019,
Lake Billy Chinook_01138120,121,10890000,,6310,1584894,1578585,636240,533854,242,2019,8/30/2019,
Lake of the Woods_01161601,46,4140000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Lost Creek Lake_01158890,96,8640000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Odell Lake_01147159,90,8100000,,6310,6310,0,6310,0,120,2017,4/30/2017,
Paulina Lake_01147502,53,4770000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Siltcoos Lake_01158483,38,3420000,,654637,1584894,930258,1069874,182797,242,2019,8/30/2019,
Summer Lake_01150595,560,50400000,,6310,2398834,2392524,597675,428198,242,2019,8/30/2019,
Summit Lake_01150624,18,1620000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Timothy Lake_01151253,48,4320000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Upper Klamath Lake_01151685,2606,234540000,,6310,4405552,4399242,1871729,880278,242,2019,8/30/2019,
Waldo Lake_01151818,237,21330000,,6310,6310,0,6310,0,242,2019,8/30/2019,
Wickiup Reservoir_01161711,87,7830000,,6310,772681,766371,36393,142507,242,2019,8/30/2019,
Beulah Reservoir_01117569,57,5130000,,6310,1419058,1412749,255772,394807,240,2019,8/28/2019,
Malheur Lake_01123710,929,83610000,,6310,2208005,2201696,310847,330531,240,2019,8/28/2019,
Warm Springs Reservoir_01128656,133,11970000,,6310,6310,0,6310,0,240,2019,8/28/2019,
Alkali Lake_01116863,28,2520000,,6310,5199964,5193654,2989133,1817464,239,2019,8/27/2019,
Alkali Lake_01116864,3,270000,,6310,6310,0,6310,0,239,2019,8/27/2019,
Beulah Reservoir_01117569,63,5670000,,6310,1499685,1493376,280222,352708,239,2019,8/27/2019,
Cold Springs Reservoir_01119125,32,2880000,,6310,1499685,1493376,420509,515118,239,2019,8/27/2019,
Cottage Grove Lake_01158179,13,1170000,,6310,114815,108506,37572,44824,239,2019,8/27/2019,
Crane Prairie Reservoir_01140386,165,14850000,,6310,293765,287455,35833,64544,239,2019,8/27/2019,
Crater Lake_01163669,530,47700000,,6310,6310,0,6310,0,239,2019,8/27/2019,
Crescent Lake_01158186,128,11520000,,6310,6310,0,6310,0,239,2019,8/27/2019,
Crump Lake_01119601,360,32400000,,6310,222844,216534,8948,17368,239,2019,8/27/2019,
Davis Lake_01140666,111,9990000,,6310,2333460,2327150,177679,443880,239,2019,8/27/2019,
Detroit Lake_01639301,24,2160000,,6310,6310,0,6310,0,239,2019,8/27/2019,
Diamond Lake_01140999,125,11250000,,6310,691831,685522,16205,65307,239,2019,8/27/2019,
Dorena Lake_01120032,39,3510000,,6310,6310,0,6310,0,239,2019,8/27/2019,
Drews Reservoir_01141243,153,13770000,,6310,4168695,4162385,2177926,1065909,239,2019,8/27/2019,
East Lake_01141624,36,3240000,,6310,6310,0,6310,0,239,2019,8/27/2019,
Fern Ridge Lake_01120678,257,23130000,,6310,554626,548316,16363,49850,239,2019,8/27/2019,
Foster Lake_01158892,6,540000,,6310,6310,0,6310,0,239,2019,8/27/2019,
Gerber Reservoir_01121105,118,10620000,,6310,6310,0,6310,0,239,2019,8/27/2019,
Goose Lake_00224325,2623,236070000,,6310,4655864,4649554,749437,561465,239,2019,8/27/2019,
Green Peter Lake_01158878,41,3690000,,6310,6310,0,6310,0,239,2019,8/27/2019,
